key,year,title,preview,html,doi
zhangunknownmclaromulticontrastl,Unknown,mcLARO: Multi-Contrast Learned Acquisition and Reconstruction Optimization for simultaneous multi-contrast and multi-parametric mapping,zhangunknownmclaromulticontrastl.jpg,https://www.semanticscholar.org/paper/8894c1946397c30d210cfbcc2e588ad3ded793e9,10.58530/2023/1642
zhangunknownhighresolution3dwhole,Unknown,"High resolution 3D whole brain T1, T2, T2* and QSM mapping within 3.5 mins",zhangunknownhighresolution3dwhole.jpg,https://www.semanticscholar.org/paper/b062337abbe775bb37b55aa6b6f243eb34e18866,10.58530/2022/5013
zhangunknowncontrastkineticmodelb,Unknown,Contrast Kinetic Model-based GRASP Reconstruction for Small Animal Imaging at 7T,zhangunknowncontrastkineticmodelb.jpg,https://www.semanticscholar.org/paper/6d1b5360002c3287175fc8788e66de763b959ebd,10.58530/2023/3756
solomonunknowntimedependentdiffusion,Unknown,Time-dependent diffusion MRI study of chemoradiation treatment response in patients with HPV positive oropharyngeal carcinoma,solomonunknowntimedependentdiffusion.jpg,https://www.semanticscholar.org/paper/0f689e3daf8a9fc72b32aa6dde06086739f6a4eb,10.58530/2023/4156
solomonunknownsubsecondgraspllrdce,Unknown,Sub-Second GRASP-LLR DCE: Locally Low-Rank Subspace Constraint aided by Deep Learning,solomonunknownsubsecondgraspllrdce.jpg,https://www.semanticscholar.org/paper/8224195141ef90ad13a7b7225a384cec387ef5e8,10.58530/2024/0626
solomonunknownmeasuringcellularinter,Unknown,Measuring cellular-interstitial water exchange time in patients with head and neck cancer using time-dependent diffusion experiments,solomonunknownmeasuringcellularinter.jpg,https://www.semanticscholar.org/paper/b4668b2414d6254515f07493eaefdd9ffdac5973,10.58530/2023/4149
solomonunknowngraspprograsprecons,Unknown,GRASP-Pro+: GRASP reconstruction with locally low-rank subspace constraint for DCE-MRI,solomonunknowngraspprograsprecons.jpg,https://www.semanticscholar.org/paper/ddf0754505dc7d6ba54a4f396aa5e9be94a80e99,10.58530/2022/1603
solomonunknownfastmribreastapublic,Unknown,fastMRI Breast: A publicly available radial k-space dataset of breast dynamic contrast-enhanced MRI,solomonunknownfastmribreastapublic.jpg,https://www.semanticscholar.org/paper/d4efc7afee50b03c713c50fb1aa7392dc2fb1d6d,10.58530/2024/2777
solomonunknownanopensourceplatform,Unknown,An open-source platform for simulating internal organ motion: Preliminary results,solomonunknownanopensourceplatform.jpg,https://www.semanticscholar.org/paper/16292e35bfff6b0e696e2d99cbbdcccf8d2da3c9,10.58530/2023/5236
malyarenkounknownreproducibilityofdiffu,Unknown,Reproducibility of diffusion kurtosis parameters for a quantitative phantom in a multi-system study,malyarenkounknownreproducibilityofdiffu.jpg,https://www.semanticscholar.org/paper/0f3eaa827239526fd9756f5937abac6f555def07,10.58530/2023/5084
maierunknownmotiondetectionusingd,Unknown,Motion detection using Doppler radar: Towards subject- and organ-specific motion correction,maierunknownmotiondetectionusingd.jpg,https://www.semanticscholar.org/paper/2b3497443fe31c60a63aa6fbf88c8384397f59fe,10.58530/2025/4590
liunknownmrfingerprintingwithi,Unknown,"MR fingerprinting with implicit neural representation (FINR) for free-breathing 3D whole-liver water T1, water T2, fat fraction, and R2* mapping",liunknownmrfingerprintingwithi.jpg,https://www.semanticscholar.org/paper/7dae7b0d4a390e7ce19ef803b9382b6dadcd2cfa,10.58530/2025/1370
keerthivasanunknownafreebreathinghybrid,Unknown,"A Free-Breathing Hybrid Technique for Simultaneous T2w, T1w, PDFF, and R2* Imaging at 0.55T",keerthivasanunknownafreebreathinghybrid.jpg,https://www.semanticscholar.org/paper/af86a6245fe79bfa3a70caac4d110e5cf2a20bf4,10.58530/2022/3932
keerthivasanunknownabdominalwateronlyt2,Unknown,Abdominal Water-Only T2 Estimation at 0.55T using a 3D Stack-of-Stars TSE-DIXON Technique,keerthivasanunknownabdominalwateronlyt2.jpg,https://www.semanticscholar.org/paper/f532af550d3f00a91817d25aef962f4fb5f3cb08,10.58530/2022/3933
huangunknown1dconvolutionalneural,Unknown,1D Convolutional Neural Network as Regularizer for Learning DCE-MRI Reconstruction,huangunknown1dconvolutionalneural.jpg,https://www.semanticscholar.org/paper/22dcf61b343e38ed126ea46de61d93f8c0acb31c,10.58530/2022/4046
brenesunknowndirectreconstructionof,Unknown,Direct Reconstruction of Tracer Kinetic Parameter Maps in Abbreviated Breast MRI,brenesunknowndirectreconstructionof.jpg,https://www.semanticscholar.org/paper/885691c6d4dbe37e562b4e04858bdc11473f9a9a,10.58530/2025/0520
0000000192044518unknowntimedependentdiffusivi,Unknown,Time-dependent diffusivity and kurtosis in phantoms and head and neck cancer patients,0000000192044518unknowntimedependentdiffusivi.jpg,https://www.semanticscholar.org/paper/bf88a82b6f8514a3b6eeb168ed83bdf19bb8e25d,
